order_id,order_date,customer_id,customer_name,region,city,customer_segment,product_id,product_name,category,quantity,unit_price,discount_pct,net_value,currency,status,sales_rep,year,month,month_name,quarter,quarter_label,week,day_of_week,is_weekend,gross_value,discount_amount,status_group,revenue_eligible,revenue,fact_key,load_timestamp
SO1000,2024-01-01,C0009,Amazon India,North,Hyderabad,E-Commerce,P010,Conference Table,Furniture,1,44000.0,20,44000.0,INR,Delivered,SR09,2024,1,January,1,Q1,1,Monday,False,55000.0,11000.0,Closed,True,44000.0,1,2026-04-16 19:43:09
SO1001,2024-01-01,C0007,Mahindra Group,North,Mumbai,Manufacturing,P004,Standing Desk,Furniture,15,28000.0,20,420000.0,INR,Delivered,SR01,2024,1,January,1,Q1,1,Monday,False,525000.0,105000.0,Closed,True,420000.0,2,2026-04-16 19:43:09
SO1002,2024-01-01,C0013,Nykaa Fashion,North,Mumbai,Retail,P003,Office Chair Ergonomic,Furniture,14,19800.0,10,277200.0,INR,Delivered,SR04,2024,1,January,1,Q1,1,Monday,False,308000.0,30800.0,Closed,True,277200.0,3,2026-04-16 19:43:09
SO1003,2024-01-01,C0013,Nykaa Fashion,North,Mumbai,Retail,P006,Tablet Air,Electronics,4,45000.0,0,180000.0,INR,Delivered,SR06,2024,1,January,1,Q1,1,Monday,False,180000.0,-0.0,Closed,True,180000.0,4,2026-04-16 19:43:09
SO1004,2024-01-01,C0014,Swiggy India,North,Bengaluru,Food-Tech,P006,Tablet Air,Electronics,20,40500.0,10,810000.0,INR,Processing,SR08,2024,1,January,1,Q1,1,Monday,False,900000.0,90000.0,Open,True,810000.0,5,2026-04-16 19:43:09
SO1005,2024-01-01,C0009,Amazon India,North,Hyderabad,E-Commerce,P002,Wireless Headphones,Electronics,13,8500.0,0,110500.0,INR,Delivered,SR10,2024,1,January,1,Q1,1,Monday,False,110500.0,-0.0,Closed,True,110500.0,6,2026-04-16 19:43:09
SO1006,2024-01-01,C0015,Paytm Services,South,Noida,FinTech,P006,Tablet Air,Electronics,19,42750.0,5,812250.0,INR,In Transit,SR01,2024,1,January,1,Q1,1,Monday,False,855000.0,42750.0,Open,True,812250.0,7,2026-04-16 19:43:09
SO1007,2024-01-02,C0013,Nykaa Fashion,North,Mumbai,Retail,P005,Smartphone X12,Electronics,3,61750.0,5,185250.0,INR,Processing,SR07,2024,1,January,1,Q1,1,Tuesday,False,195000.0,9750.0,Open,True,185250.0,8,2026-04-16 19:43:09
SO1008,2024-01-02,C0005,HDFC Bank,South,Mumbai,BFSI,P008,LED Monitor 27inch,Electronics,12,26600.0,5,319200.0,INR,Delivered,SR04,2024,1,January,1,Q1,1,Tuesday,False,336000.0,16800.0,Closed,True,319200.0,9,2026-04-16 19:43:09
SO1009,2024-01-02,C0011,Ola Cabs,West,Bengaluru,Transport,P005,Smartphone X12,Electronics,3,52000.0,20,156000.0,INR,Delivered,SR09,2024,1,January,1,Q1,1,Tuesday,False,195000.0,39000.0,Closed,True,156000.0,10,2026-04-16 19:43:09
SO1010,2024-01-02,C0012,Byju's Learning,North,Bengaluru,EdTech,P004,Standing Desk,Furniture,6,29750.0,15,178500.0,INR,Delivered,SR09,2024,1,January,1,Q1,1,Tuesday,False,210000.0,31500.0,Closed,True,178500.0,11,2026-04-16 19:43:09
SO1011,2024-01-02,C0004,Reliance Retail,South,Mumbai,Retail,P006,Tablet Air,Electronics,2,42750.0,5,85500.0,INR,Processing,SR06,2024,1,January,1,Q1,1,Tuesday,False,90000.0,4500.0,Open,True,85500.0,12,2026-04-16 19:43:09
SO1012,2024-01-02,C0007,Mahindra Group,North,Mumbai,Manufacturing,P005,Smartphone X12,Electronics,3,61750.0,5,185250.0,INR,Processing,SR10,2024,1,January,1,Q1,1,Tuesday,False,195000.0,9750.0,Open,True,185250.0,13,2026-04-16 19:43:09
SO1013,2024-01-02,C0015,Paytm Services,South,Noida,FinTech,P006,Tablet Air,Electronics,7,38250.0,15,267750.0,INR,Delivered,SR08,2024,1,January,1,Q1,1,Tuesday,False,315000.0,47250.0,Closed,True,267750.0,14,2026-04-16 19:43:09
SO1014,2024-01-03,C0005,HDFC Bank,South,Mumbai,BFSI,P003,Office Chair Ergonomic,Furniture,8,17600.0,20,140800.0,INR,Delivered,SR10,2024,1,January,1,Q1,1,Wednesday,False,176000.0,35200.0,Closed,True,140800.0,15,2026-04-16 19:43:09
SO1015,2024-01-03,C0007,Mahindra Group,North,Mumbai,Manufacturing,P010,Conference Table,Furniture,13,49500.0,10,643500.0,INR,Delivered,SR03,2024,1,January,1,Q1,1,Wednesday,False,715000.0,71500.0,Closed,True,643500.0,16,2026-04-16 19:43:09
SO1016,2024-01-03,C0009,Amazon India,North,Hyderabad,E-Commerce,P008,LED Monitor 27inch,Electronics,3,28000.0,0,84000.0,INR,Processing,SR03,2024,1,January,1,Q1,1,Wednesday,False,84000.0,-0.0,Open,True,84000.0,17,2026-04-16 19:43:09
SO1017,2024-01-03,C0011,Ola Cabs,West,Bengaluru,Transport,P003,Office Chair Ergonomic,Furniture,14,17600.0,20,246400.0,INR,Delivered,SR07,2024,1,January,1,Q1,1,Wednesday,False,308000.0,61600.0,Closed,True,246400.0,18,2026-04-16 19:43:09
SO1018,2024-01-03,C0010,Zomato Ltd,Central,Gurugram,Food-Tech,P008,LED Monitor 27inch,Electronics,17,25200.0,10,428400.0,INR,Cancelled,SR01,2024,1,January,1,Q1,1,Wednesday,False,476000.0,47600.0,Cancelled,False,0.0,19,2026-04-16 19:43:09
SO1019,2024-01-03,C0011,Ola Cabs,West,Bengaluru,Transport,P002,Wireless Headphones,Electronics,18,7650.0,10,137700.0,INR,In Transit,SR06,2024,1,January,1,Q1,1,Wednesday,False,153000.0,15300.0,Open,True,137700.0,20,2026-04-16 19:43:09
SO1020,2024-01-04,C0005,HDFC Bank,South,Mumbai,BFSI,P007,Mechanical Keyboard,Electronics,6,6375.0,15,38250.0,INR,Delivered,SR05,2024,1,January,1,Q1,1,Thursday,False,45000.0,6750.0,Closed,True,38250.0,21,2026-04-16 19:43:09
SO1021,2024-01-04,C0009,Amazon India,North,Hyderabad,E-Commerce,P003,Office Chair Ergonomic,Furniture,17,22000.0,0,374000.0,INR,Processing,SR05,2024,1,January,1,Q1,1,Thursday,False,374000.0,-0.0,Open,True,374000.0,22,2026-04-16 19:43:09
SO1022,2024-01-04,C0014,Swiggy India,North,Bengaluru,Food-Tech,P009,Filing Cabinet,Furniture,20,11400.0,5,228000.0,INR,Delivered,SR03,2024,1,January,1,Q1,1,Thursday,False,240000.0,12000.0,Closed,True,228000.0,23,2026-04-16 19:43:09
SO1023,2024-01-04,C0009,Amazon India,North,Hyderabad,E-Commerce,P009,Filing Cabinet,Furniture,1,9600.0,20,9600.0,INR,Delivered,SR01,2024,1,January,1,Q1,1,Thursday,False,12000.0,2400.0,Closed,True,9600.0,24,2026-04-16 19:43:09
SO1024,2024-01-04,C0002,TCS Technologies,North,Mumbai,Enterprise,P006,Tablet Air,Electronics,10,42750.0,5,427500.0,INR,Delivered,SR10,2024,1,January,1,Q1,1,Thursday,False,450000.0,22500.0,Closed,True,427500.0,25,2026-04-16 19:43:09
SO1025,2024-01-05,C0002,TCS Technologies,North,Mumbai,Enterprise,P008,LED Monitor 27inch,Electronics,3,22400.0,20,67200.0,INR,In Transit,SR03,2024,1,January,1,Q1,1,Friday,False,84000.0,16800.0,Open,True,67200.0,26,2026-04-16 19:43:09
