order_id,order_date,customer_id,customer_name,region,city,customer_segment,product_id,product_name,category,quantity,unit_price,discount_pct,net_value,currency,status,sales_rep
SO1000,2024-01-01,C0009,Amazon India,North,Hyderabad,E-Commerce,P010,Conference Table,Furniture,1,44000.0,20,44000.0,INR,Delivered,SR09
SO1001,2024-01-01,C0007,Mahindra Group,North,Mumbai,Manufacturing,P004,Standing Desk,Furniture,15,28000.0,20,420000.0,INR,Delivered,SR01
SO1002,2024-01-01,C0013,Nykaa Fashion,North,Mumbai,Retail,P003,Office Chair Ergonomic,Furniture,14,19800.0,10,277200.0,INR,Delivered,SR04
SO1003,2024-01-01,C0013,Nykaa Fashion,North,Mumbai,Retail,P006,Tablet Air,Electronics,4,45000.0,0,180000.0,INR,Delivered,SR06
SO1004,2024-01-01,C0014,Swiggy India,North,Bengaluru,Food-Tech,P006,Tablet Air,Electronics,20,40500.0,10,810000.0,INR,Processing,SR08
SO1005,2024-01-01,C0009,Amazon India,North,Hyderabad,E-Commerce,P002,Wireless Headphones,Electronics,13,8500.0,0,110500.0,INR,Delivered,SR10
SO1006,2024-01-01,C0015,Paytm Services,South,Noida,FinTech,P006,Tablet Air,Electronics,19,42750.0,5,812250.0,INR,In Transit,SR01
SO1007,2024-01-02,C0013,Nykaa Fashion,North,Mumbai,Retail,P005,Smartphone X12,Electronics,3,61750.0,5,185250.0,INR,Processing,SR07
SO1008,2024-01-02,C0005,HDFC Bank,South,Mumbai,BFSI,P008,LED Monitor 27inch,Electronics,12,26600.0,5,319200.0,INR,Delivered,SR04
SO1009,2024-01-02,C0011,Ola Cabs,West,Bengaluru,Transport,P005,Smartphone X12,Electronics,3,52000.0,20,156000.0,INR,Delivered,SR09
SO1010,2024-01-02,C0012,Byju's Learning,North,Bengaluru,EdTech,P004,Standing Desk,Furniture,6,29750.0,15,178500.0,INR,Delivered,SR09
SO1011,2024-01-02,C0004,Reliance Retail,South,Mumbai,Retail,P006,Tablet Air,Electronics,2,42750.0,5,85500.0,INR,Processing,SR06
SO1012,2024-01-02,C0007,Mahindra Group,North,Mumbai,Manufacturing,P005,Smartphone X12,Electronics,3,61750.0,5,185250.0,INR,Processing,SR10
SO1013,2024-01-02,C0015,Paytm Services,South,Noida,FinTech,P006,Tablet Air,Electronics,7,38250.0,15,267750.0,INR,Delivered,SR08
SO1014,2024-01-03,C0005,HDFC Bank,South,Mumbai,BFSI,P003,Office Chair Ergonomic,Furniture,8,17600.0,20,140800.0,INR,Delivered,SR10
SO1015,2024-01-03,C0007,Mahindra Group,North,Mumbai,Manufacturing,P010,Conference Table,Furniture,13,49500.0,10,643500.0,INR,Delivered,SR03
SO1016,2024-01-03,C0009,Amazon India,North,Hyderabad,E-Commerce,P008,LED Monitor 27inch,Electronics,3,28000.0,0,84000.0,INR,Processing,SR03
SO1017,2024-01-03,C0011,Ola Cabs,West,Bengaluru,Transport,P003,Office Chair Ergonomic,Furniture,14,17600.0,20,246400.0,INR,Delivered,SR07
SO1018,2024-01-03,C0010,Zomato Ltd,Central,Gurugram,Food-Tech,P008,LED Monitor 27inch,Electronics,17,25200.0,10,428400.0,INR,Cancelled,SR01
SO1019,2024-01-03,C0011,Ola Cabs,West,Bengaluru,Transport,P002,Wireless Headphones,Electronics,18,7650.0,10,137700.0,INR,In Transit,SR06
SO1020,2024-01-04,C0005,HDFC Bank,South,Mumbai,BFSI,P007,Mechanical Keyboard,Electronics,6,6375.0,15,38250.0,INR,Delivered,SR05
SO1021,2024-01-04,C0009,Amazon India,North,Hyderabad,E-Commerce,P003,Office Chair Ergonomic,Furniture,17,22000.0,0,374000.0,INR,Processing,SR05
SO1022,2024-01-04,C0014,Swiggy India,North,Bengaluru,Food-Tech,P009,Filing Cabinet,Furniture,20,11400.0,5,228000.0,INR,Delivered,SR03
SO1023,2024-01-04,C0009,Amazon India,North,Hyderabad,E-Commerce,P009,Filing Cabinet,Furniture,1,9600.0,20,9600.0,INR,Delivered,SR01
